,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
107,georgia,জর্জিয়া,370,0,0,0,0,2,2020-04-18 07:18:02,41.71665954589844,44.78333282470703,world
108,senegal,সেনেগাল,342,3,198,4,1,7,2020-04-18 07:18:02,14.359614372253418,-14.468459129333496,world
109,mauritius,মরিশাস,324,9,81,0,0,0,2020-04-18 07:18:02,-20.28355598449707,57.571815490722656,world
110,congodrc,কঙ্গো (DRC),307,25,26,1,2,20,2020-04-18 07:18:02,-2.878549098968506,23.65669059753418,world
111,montenegro,মন্টিনিগ্রো,303,5,60,5,0,0,2020-04-18 07:18:02,42.78509521484375,19.248979568481445,world
112,isleofman,আইল অফ ম্যান,291,4,169,16,0,8,2020-04-18 07:18:02,54.22895812988281,-4.537568092346191,world
113,vietnam,ভিয়েতনাম,268,0,201,24,0,0,2020-04-18 07:18:02,16.167692184448242,107.83905029296875,world
114,kenya,কেনিয়া,246,11,53,0,1,21,2020-04-18 07:18:02,0.5370280146598816,37.85677719116211,world
115,mayotte,মায়োত্তে,245,4,117,23,1,12,2020-04-18 07:18:02,-12.822992324829102,45.14403533935547,world
116,srilanka,শ্রীলঙ্কা,244,7,77,14,0,7,2020-04-18 07:18:02,7.6416449546813965,80.69197845458984,world
117,guernsey,গ্রাঞ্জি,236,9,82,13,1,8,2020-04-18 07:18:02,49.45612335205078,-2.579606056213379,world
118,guatemala,গুয়াতেমালা,235,7,21,0,0,21,2020-04-18 07:18:02,15.696107864379883,-90.35709381103516,world
119,jersey,জার্সি,234,11,0,0,1,11,2020-04-18 07:18:02,49.2114143371582,-2.133455991744995,world
120,venezuela,ভেনেজুয়েলা,227,9,113,2,0,23,2020-04-18 07:18:02,7.156984806060791,-66.2232437133789,world
121,paraguay,প্যারাগুয়ে,202,0,0,0,0,0,2020-04-18 07:18:02,-23.241958618164062,-58.392765045166016,world
122,elsalvador,এল সালভাডর,190,0,0,0,0,0,2020-04-18 07:18:02,13.73300552368164,-88.86650085449219,world
